Brand,Year,Model,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Mazda,2018,BT-50,2018 Mazda BT-50 XTR (4X2),USED,Automatic,Rear,Diesel,9.3,97460,White / Grey,"Haberfield, NSW",5,Ute / Tray,4,5,30990
Mazda,2009,3,2009 Mazda 3 Maxx,USED,Automatic,Front,Unleaded,8.2,178389,Black,"Chester Hill, NSW",4,Sedan,4,5,8499
Hyundai,2011,I20,2011 Hyundai I20 Active,USED,Automatic,Front,Unleaded,6.4,188262,Blue,"Minchinbury, NSW",4,Hatchback,5,5,10995
Honda,2015,Vezel,2015 Honda Vezel Hybrid Z,USED,Automatic,Other,Unleaded,-,71059,Grey,"Blacktown, NSW",-,Wagon,,,24888
Mazda,2010,CX-7,2010 Mazda CX-7uxury Sports (4X4),USED,Automatic,AWD,Unleaded,11.5,152831,Black /eather,"Liverpool, NSW",4,SUV,4,5,11669
Jeep,2017,Renegade,2017 Jeep Renegadeimited,USED,Automatic,Front,Premium,5.9,69218,Grey / Black,"Glebe, NSW",4,SUV,4,5,24950
Mazda,2013,6,2013 Mazda 6 Sport,USED,Automatic,Front,Unleaded,6.6,124093,White,"West Ryde, NSW",4,Sedan,4,5,16990
Nissan,2009,Elgrand,2009 Nissan Elgrand Highway Star,USED,Automatic,Rear,Unleaded,-,103090,White / Brown,"Five Dock, NSW",-,Wagon,,,19995
Kia,2013,Grand,2013 Kia Grand Carnival SLI,USED,Automatic,Front,Unleaded,10.9,98672,White,"Minchinbury, NSW",6,Wagon,4,8,13995
Mitsubishi,2015,Lancer,2015 Mitsubishiancer ES Sport,USED,Automatic,Front,Unleaded,7.2,61481,Grey / Black,"Minchinbury, NSW",4,Sedan,4,5,17995
Subaru,2018,Impreza,2018 Subaru Impreza 2.0I (awd),USED,Automatic,AWD,Unleaded,6.6,61177,Grey,"Seven Hills, NSW",4,Hatchback,5,5,22990
Mazda,2014,3,2014 Mazda 3 NEO,USED,Automatic,Front,Unleaded,8.2,132648,Red / Black  Cloth,"Granville, NSW",4,Hatchback,5,5,16999
BMW,2021,X4,2021 BMW X4 Xdrive20I M Sport,USED,Automatic,AWD,Unleaded,7.3,31367,Grey,"Sylvania, NSW",4,SUV,5,5,79988
Mazda,2010,CX-7,2010 Mazda CX-7uxury Sports (4X4),USED,Automatic,AWD,Unleaded,11.5,174818,Red,"Kirrawee, NSW",4,SUV,4,5,12800
Audi,2015,A5,2015 Audi A5 2.0 Tfsi Quattro,USED,Automatic,AWD,Premium,6.7,115334,Grey / Black,"Blacktown, NSW",4,Coupe,2,4,26880
BMW,2014,118I,2014 BMW 118I,USED,Automatic,Rear,Premium,5.8,57000,White / Black,"Cabramatta, NSW",4,Hatchback,5,5,16990
Mercedes-Benz,2012,C-CLASS,2012 Mercedes-Benz C-CLASS W204 BlueEFFICIENCY Avantgarde Sedan 4dr 7G-TRONIC 7sp 1.8T,USED,Automatic,Other,Unleaded,-,162775,Black,"Rouse Hill, NSW",-,,,,16999
Toyota,2013,HiAce,2013 Toyota HiAce DX,USED,Automatic,Other,Diesel,-,191173,Silver / Black,"Ingleburn, NSW",-,Commercial,,,30900
Subaru,2007,Impreza,2007 Subaru Impreza WRX STI,USED,Manual,Other,Unleaded,-,146077,Black / Grey/Black,"Smeaton Grange, NSW",-,,,,34888
Audi,2014,Q7,2014 Audi Q7 4.2 TDI Quattro,USED,Automatic,AWD,Diesel,9.2,199941,Black,"Five Dock, NSW",8,SUV,4,7,28999
Suzuki,2015,Celerio,2015 Suzuki Celerio,USED,Automatic,Front,Unleaded,4.8,23316,Blue,"Blacktown, NSW",3,Hatchback,5,4,13880
Subaru,2016,Liberty,2016 Subaruiberty 3.6R,USED,Automatic,AWD,Premium,9.9,226127,White,"Minto, NSW",6,Sedan,4,5,17950
Toyota,2019,C-HR,2019 Toyota C-HR (2WD),USED,Manual,Front,Premium,5.4,58185,Yellow,"Blacktown, NSW",4,SUV,4,5,33888
Subaru,2021,Forester,2021 Subaru Forester 2.5I (awd),USED,Automatic,AWD,Unleaded,7.4,16136,Silver,"Windsor, NSW",4,SUV,4,5,39990
Mazda,2015,CX-3,2015 Mazda CX-3 S Touring (awd),USED,Automatic,AWD,Unleaded,6.7,31531,White,"Penrith, NSW",4,SUV,4,5,23950
Jeep,2018,Grand,2018 Jeep Grand Cherokeeimited (4X4),USED,Automatic,4WD,Diesel,7.5,76472,White / Black,"Glebe, NSW",6,SUV,4,5,41950
Hyundai,2018,I30,2018 Hyundai I30 Active,USED,Automatic,Front,Unleaded,7.4,62719,Silver / Black,"Homebush, NSW",4,Hatchback,4,5,21999
Nissan,2020,X-Trail,2020 Nissan X-Trail ST (2WD),USED,Automatic,Front,Unleaded,7.9,52035,Grey,"Windsor, NSW",4,SUV,4,5,27990
Honda,2010,City,2010 Honda City VTI,USED,Automatic,Front,Unleaded,6.6,146445,Black,"Kogarah, NSW",4,Sedan,4,5,8950
Honda,2020,CR-V,2020 Honda CR-V VTI-L7 (2WD),USED,Automatic,Front,Unleaded,7.3,35214,Grey / Black,"Blacktown, NSW",4,SUV,4,7,37880
Holden,2014,Cruze,2014 Holden Cruze SRI,USED,Manual,Front,Unleaded,7.4,163000,Red,"South Windsor, NSW",4,Hatchback,5,5,7950
Jeep,2013,Grand,2013 Jeep Grand Cherokeearedo (4X2),USED,Automatic,Rear,Premium,10.1,69001,Grey / Black,"Artarmon, NSW",6,SUV,4,5,24990
Toyota,2007,RAV4,2007 Toyota RAV4 Cruiser (4X4),USED,Automatic,4WD,Unleaded,9.6,106718,Silver / Grey,"Lansvale, NSW",4,SUV,4,5,14999
Holden,2016,Commodore,2016 Holden Commodore Evoke,USED,Automatic,Rear,Unleaded,8.3,59689,Red / Black,"Blacktown, NSW",6,Sedan,4,5,22999
Mercedes-Benz,2010,CLC200,2010 Mercedes-Benz CLC200 Kompressor Evolution +,USED,Automatic,Rear,Premium,9,177834,Silver,"Five Dock, NSW",4,Coupe,2,4,7999
Dodge,2012,Journey,2012 Dodge Journey JC SXT Wagon 4dr Auto 6sp 3.6i 7 St SUV,USED,Automatic,Other,Unleaded,-,147589,White,"Rouse Hill, NSW",-,Wagon,,,10999
Mazda,2013,6,2013 Mazda 6 Atenza,USED,Automatic,Front,Unleaded,6.6,105767,White / Black,"Homebush, NSW",4,Sedan,4,5,19999
Volkswagen,2018,Caddy,2018 Volkswagen Caddy Maxi VAN TSI220,USED,Automatic,Front,Premium,6,87293,White,"Blacktown, NSW",4,Commercial,3,2,30999
Honda,2013,Civic,2013 Honda Civic VTI-L,USED,Automatic,Front,Unleaded,6.7,154347,Silver,"Minchinbury, NSW",4,Sedan,4,5,15990
Jeep,2021,Compass,2021 Jeep Compassaunch Edition,USED,Automatic,Front,Unleaded,7.9,20827,White / Black,"Ryde, NSW",4,SUV,4,5,32888
Toyota,2008,HiAce,2008 Toyota HiAce Commuter GL Grand Cabin,USED,Automatic,Other,Unleaded,-,112980,White / Black,"Ingleburn, NSW",-,Commercial,,,31900
Mazda,2014,CX-9,2014 Mazda CX-9 Classic,USED,Automatic,Other,-,-,97745,Blue / Grey,"Blacktown, NSW",-,Wagon,,,22999
Toyota,2010,Yaris,2010 Toyota Yaris YR,USED,Automatic,Front,Unleaded,6.5,147626,White,"Minchinbury, NSW",4,Hatchback,5,5,10995
Jeep,2014,Grand,2014 Jeep Grand Cherokee Overland (4X4),USED,Automatic,4WD,Diesel,7.5,114424,Grey / Black,"Castle Hill, NSW",6,SUV,4,5,29990
Mazda,2009,3,2009 Mazda 3 SP25,USED,Manual,Front,Unleaded,8.6,153020,Red,"Liverpool, NSW",4,Hatchback,5,5,13950
Ford,2016,Ranger,2016 Ford Ranger XLT 3.2 (4X4),USED,Automatic,4WD,Diesel,9,98700,Blue,"Five Dock, NSW",5,Ute / Tray,4,5,36999
Holden,2011,Captiva,2011 Holden Captiva CG 7X Wagon 7st 4dr Spts Auto 6sp 4x4 2.2DT,USED,Automatic,Other,Diesel,-,183924,White,"Granville, NSW",-,Wagon,,,9990
Toyota,2013,86,2013 Toyota 86 GTS,USED,Automatic,Rear,Premium,7.1,103706,Orange / Grey,"Croydon, NSW",4,Coupe,2,4,24990
Volkswagen,2013,Golf,2013 Volkswagen Golf 103 TSI Highline,USED,Automatic,Front,Premium,5.2,126532,Gold / Black,"Cabramatta, NSW",4,Hatchback,5,5,13990
Mitsubishi,2013,Lancer,2013 MitsubishiancerX Sportback,USED,Automatic,Front,Unleaded,7.3,73421,Grey / Black,"Brookvale, NSW",4,Hatchback,5,5,16990
Toyota,2009,Camry,2009 Toyota Camry Ateva,USED,Automatic,Front,Unleaded,9.9,155135,White / Black,"Minchinbury, NSW",4,Sedan,4,5,10995
Hyundai,2013,I20,2013 Hyundai I20 Active,USED,Automatic,Front,Unleaded,6.4,123330,Grey / Black,"Brookvale, NSW",4,Hatchback,5,5,12990
Mitsubishi,2014,Lancer,2014 Mitsubishiancer GSR Sportback,USED,Automatic,Front,Unleaded,8.9,44249,Silver / Black,"Arncliffe, NSW",4,Hatchback,5,5,18990
Mazda,2018,2,2018 Mazda 2 Maxx,USED,Automatic,Front,Unleaded,4.9,27100,Silver / Cloth,"Darlinghurst, NSW",4,Hatchback,5,5,23999
Mazda,2009,3,2009 Mazda 3 Maxx Sport,USED,Automatic,Front,Unleaded,8.2,70661,White,"Minchinbury, NSW",4,Hatchback,5,5,14995
Mitsubishi,2014,Triton,2014 Mitsubishi Triton GLX (4X4),USED,Automatic,4WD,Diesel,9.3,215100,White,"Eastern Creek, NSW",4,Ute / Tray,4,5,18995
