Year,UORN_D,UORN_N,UORN_U,FuelConsumption,Kilometres,CylindersinEngine,Price
2015,0.0,0.0,1.0,5.3,124882,4,19888
2005,0.0,0.0,1.0,8.9,247519,4,5950
2021,0.0,0.0,1.0,7.2,9819,4,51990
2004,0.0,0.0,1.0,10.5,124230,6,16000
2020,0.0,0.0,1.0,8.3,43839,4,33990
2012,0.0,0.0,1.0,6.9,106286,4,16990
2011,0.0,0.0,1.0,,167420,,15999
2018,0.0,0.0,1.0,9.1,128601,6,36888
2011,0.0,0.0,1.0,10.3,91016,6,16999
2014,0.0,0.0,1.0,5.2,38821,4,29800
2015,0.0,0.0,1.0,7.9,94239,4,22990
2013,0.0,0.0,1.0,9.4,167122,5,23913
2004,0.0,0.0,1.0,9.4,207966,4,8990
2017,0.0,0.0,1.0,8.3,108767,5,29999
2015,0.0,0.0,1.0,4.8,39578,4,16420
2015,0.0,0.0,1.0,4.9,105633,4,16990
2002,0.0,0.0,1.0,8,169981,4,7880
2017,0.0,0.0,1.0,,91702,,38999
2015,0.0,0.0,1.0,6.4,138263,4,21995
2006,0.0,0.0,1.0,7.4,238016,4,5999
2013,0.0,0.0,1.0,,44441,,18990
2014,0.0,0.0,1.0,5.9,73021,4,27995
2010,0.0,0.0,1.0,6.9,106831,4,8995
2012,0.0,0.0,1.0,7.6,209552,4,7995
2021,0.0,0.0,1.0,7.2,51311,4,30888
2022,0.0,0.0,1.0,3.3,17984,3,39990
2014,0.0,0.0,1.0,7.5,137763,6,24990
2022,0.0,0.0,1.0,7.3,21532,4,39990
2015,0.0,0.0,1.0,8.8,139968,6,54990
2022,1.0,0.0,0.0,7.1,15,4,23690
2015,0.0,0.0,1.0,7.2,154276,4,28990
2009,0.0,0.0,1.0,11,98170,8,34990
2023,0.0,0.0,1.0,,90,,79800
2013,0.0,0.0,1.0,5.7,131990,4,11490
2019,0.0,0.0,1.0,6,173605,4,18995
2017,0.0,0.0,1.0,8.7,160331,4,34995
2010,0.0,0.0,1.0,9.3,203500,6,7995
2018,0.0,0.0,1.0,8.5,37726,4,49913
2018,0.0,0.0,1.0,6.1,50304,4,23400
2018,0.0,0.0,1.0,7.1,59223,6,44990
